,날짜,내용
0,2019-04-05,'갤럭시 S10 5G' 5G 스마트폰 출시
1,2019-06-04,소비자 라이프스타일 맞춤형 냉장고 '비스포크(BESPOKE)' 출시
2,2019-09-04,'엑시노스 980' 5G 모바일 프로세서 공개
3,2019-09-06,'갤럭시 폴드' 새로운 폼팩터 폴더블폰 공개
4,2020-01-29,'그랑데 AI' 인공지능 기반 세탁기ㆍ건조기 출시
5,2020-02-04,AIㆍ차세대 슈퍼컴퓨터용 초고속 DRAM 출시
6,2020-02-12,'갤럭시 Z 플립' 폴더블폰 공개
7,2020-08-30,세계 최대 규모 평택 반도체 2라인 가동
8,2021-03-03,'Neo QLED TV' 공개
9,2021-06-03,전세계 반도체 업체 최초 전 사업장 '탄소/물/폐기물 저감' 인증
10,2021-10-12,업계 최선단 14나노 EUV DDR5 D램 양산
11,2021-11-24,미국 테일러市에 신규 파운드리 라인 투자 발표
12,2022-02-17,비스포크 인피니트 라인 공개
13,2022-06-30,세계 최초 3나노 GAA 파운드리 양산
14,2022-08-19,차세대 반도체 R&D단지 기공식
15,2022-11-07,1Tb 8세대 V낸드 양산
16,2023-01-17,초고화소 기술 집약된 2억 화소 이미지센서 '아이소셀 HP2' 출시
17,2023-02-02,'갤럭시 S23' 시리즈 공개
18,2023-05-12,업계 최초고용량 메모리 처리를 위한'CXL 2.0 D램'  개발
19,2023-05-18,업계 최선단 12나노급 D램 양산
20,2023-07-06,체험형 플래그십 스토어 '삼성 강남' 오픈
21,2023-07-19,업계 최초그래픽용 고성능GDDR7 D램 개발
22,2023-07-26,"'갤럭시 Z 폴드5', '갤럭시 Z 플립5' 공개"
23,2023-09-01,현존 최대 용량 32Gb DDR5 D램 개발
24,2023-09-26,업계 최초차세대 D램LPCAMM 개발
25,2023-11-08,생성형 AI '삼성 가우스' 공개
